tên file,transcript,duration
FPTOpenSpeechData_Set001_V0.1_010517.mp3,nét son ấy được khơi mào vẽ nên bằng sự chung tay của đôi uyên ương,4.77698
FPTOpenSpeechData_Set002_V0.1_009082.mp3,"Chờ lá cách vừa chín tới , nhắc xuống , múc ra dĩa .",5.304
FPTOpenSpeechData_Set002_V0.1_004246.mp3,"Cho nên phải điều trị , giám sát đặc biệt .",4.632
FPTOpenSpeechData_Set002_V0.1_001056.mp3,"Nếu không ai làm việc đó , tôi cũng sự tự mình lột da anh ta .",6.384
FPTOpenSpeechData_Set001_V0.1_011202.mp3,hãy bảo đảm rằng người phục vụ quầy hoặc bất cứ ai khác không nghe được cuộc nói chuyện của anh,5.25698
FPTOpenSpeechData_Set002_V0.1_001497.mp3,có phải là chuyến xe buýt này không chuyến xe đang chuẩn bị dừng đấy,6.624
FPTOpenSpeechData_Set002_V0.1_007485.mp3,"Tất cả là ở cảm xúc , ở hiệu ứng thẩm mỹ cuối cùng .",6.36
FPTOpenSpeechData_Set001_V0.1_009535.mp3,nữ diễn viên chương tử di vì nhan sắc và thành công của cô ấy ở nước ngoài,5.64098
FPTOpenSpeechData_Set002_V0.1_002299.mp3,"Tiếp phóng viên là ông Hà Lương Tín , Tổng Giám đốc công ty .",4.44
FPTOpenSpeechData_Set002_V0.1_010741.mp3,"Hơn nữa , từ nhỏ chị còn bị đau thận , đau dạ dày .",5.136
FPTOpenSpeechData_Set001_V0.1_009616.mp3,cầm mã tấu cướp tiệm vàng ở khu mua sắm sầm uất,4.46498
FPTOpenSpeechData_Set002_V0.1_009220.mp3,bạn có thể hướng dẫn tôi cách dụng điện thoại công cộng không,3.96
FPTOpenSpeechData_Set002_V0.1_011768.mp3,"Lúc đầu , dự thảo có nội dung khá cứng , hễ biệt thự là phải giữ lại .",5.184
FPTOpenSpeechData_Set002_V0.1_008525.mp3,"Bất cẩn trong chuyện gì cũng không tốt , nhất là trong tình yêu .",4.392
FPTOpenSpeechData_Set002_V0.1_009438.mp3,"Tuy nhiên , một số người thiếu ý thức đã lấy gạch , đá để ném vào rùa .",5.256
FPTOpenSpeechData_Set002_V0.1_006536.mp3,"Nếu được nghỉ ngơi thư giãn hoàn toàn , da bạn sẽ phục hồi nhanh chóng !",6.024
FPTOpenSpeechData_Set002_V0.1_002130.mp3,Andrea xuất hiện với hình ảnh ngoan hiền trong một quán cà phê sách.,4.152
FPTOpenSpeechData_Set002_V0.1_006636.mp3,"Thậm chí , nếu không đưa phong bì còn thấy ngại , có lỗi .",4.536
FPTOpenSpeechData_Set002_V0.1_004220.mp3,"Mỗi ngày làm việc , quay phim với tôi đều rất thú vị .",5.496
FPTOpenSpeechData_Set002_V0.1_001470.mp3,"Thức ăn dặm không làm bé no bụng , ngon giấc cả đêm .",5.784
FPTOpenSpeechData_Set001_V0.1_004286.mp3,còn khi dòng điện bị ngắt các tinh thể duỗi ra trả lại hình dạng và chiều dài ban đầu,5.16098
FPTOpenSpeechData_Set001_V0.1_000163.mp3,nền tài chính nhật bản phụ thuộc khá lớn vào các chính sách tiền tệ của mỹ,5.64098
FPTOpenSpeechData_Set001_V0.1_003538.mp3,không may thay lúc này bà ấy không thể trả lời điện thoại,5.42498
FPTOpenSpeechData_Set002_V0.1_008624.mp3,"Trong khi đó, ông vẫn để ngỏ khả năng chiêu mộ tuyển thủ xứ Samba.",4.224
FPTOpenSpeechData_Set001_V0.1_011382.mp3,đây là quầy thủ tục của hàng không ABC phải không,4.17698
FPTOpenSpeechData_Set001_V0.1_005741.mp3,để có thể tự làm mỹ phẩm bằng cách thủ công nhiều người đã xem hướng dẫn trên mạng hoặc tham gia các khóa đào tạo ngắn của trung tâm mỹ phẩm,6.59094
FPTOpenSpeechData_Set002_V0.1_004084.mp3,"Hồi tưởng lại tâm trạng khi đó , điều mà Bộ trưởng nhớ nhất là gì ?",5.736
FPTOpenSpeechData_Set002_V0.1_005296.mp3,do tới trễ nên chúng tôi đã lỡ chuyến bay chuyển tiếp,3.936
